m_avg_2_1,242.000000,180.000000,154.000000,88.000000
m_avg_2_2,249.000000,167.000000,155.000000,94.000000
m_avg_2_3,243.000000,162.000000,152.000000,91.000000
m_avg_2_4,248.000000,171.000000,153.000000,95.000000
m_avg_2_5,249.000000,168.000000,158.000000,91.000000
m_avg_2_6,260.000000,172.000000,167.000000,93.000000
m_avg_3_1,248.000000,168.000000,151.000000,97.000000
m_avg_3_2,249.000000,169.000000,151.000000,98.000000
m_avg_3_3,241.000000,164.000000,151.000000,90.000000
m_avg_3_4,239.000000,168.000000,153.000000,86.000000
m_avg_3_5,243.000000,161.000000,152.000000,91.000000
m_avg_3_6,239.000000,168.000000,150.000000,89.000000
m_avg_4_1,249.000000,169.000000,155.000000,94.000000
m_avg_4_2,246.000000,167.000000,153.000000,93.000000
m_avg_4_3,241.000000,164.000000,152.000000,89.000000
m_avg_4_4,235.000000,170.000000,145.000000,90.000000
m_avg_4_5,240.000000,166.000000,151.000000,89.000000
m_avg_4_6,252.000000,172.000000,156.000000,96.000000
m_avg_5_1,245.000000,164.000000,152.000000,93.000000
m_avg_5_2,240.000000,166.000000,150.000000,90.000000
m_avg_5_3,243.000000,166.000000,155.000000,88.000000
m_avg_5_4,239.000000,164.000000,150.000000,89.000000
m_avg_5_5,243.000000,166.000000,153.000000,90.000000
m_avg_5_6,245.000000,169.000000,155.000000,90.000000
m_avg_6,241.000000,165.000000,152.000000,89.000000
f_avg_5_1,249.000000,169.000000,163.000000,86.000000
f_avg_5_2,247.000000,167.000000,162.000000,85.000000
f_avg_5_3,252.000000,166.000000,166.000000,86.000000
f_avg_5_4,250.000000,169.000000,166.000000,84.000000
f_avg_5_5,254.000000,165.000000,167.000000,87.000000
f_avg_5_6,251.000000,165.000000,162.000000,89.000000
f_avg_4_1,249.000000,173.000000,166.000000,83.000000
f_avg_4_2,251.000000,170.000000,168.000000,83.000000
f_avg_4_3,252.000000,166.000000,163.000000,89.000000
f_avg_4_4,251.000000,165.000000,166.000000,85.000000
f_avg_4_5,257.000000,165.000000,169.000000,88.000000
f_avg_4_6,247.000000,168.000000,159.000000,88.000000
f_avg_3_1,256.000000,164.000000,169.000000,87.000000
f_avg_3_2,256.000000,164.000000,169.000000,87.000000
f_avg_3_3,250.000000,174.000000,167.000000,83.000000
f_avg_3_4,252.000000,168.000000,166.000000,86.000000
f_avg_3_5,245.000000,163.000000,157.000000,88.000000
f_avg_3_6,245.000000,167.000000,161.000000,84.000000
f_avg_2_1,241.000000,172.000000,163.000000,78.000000
f_avg_2_2,255.000000,163.000000,171.000000,84.000000
f_avg_2_3,257.000000,161.000000,165.000000,92.000000
f_avg_2_4,243.000000,163.000000,159.000000,84.000000
f_avg_2_5,250.000000,163.000000,166.000000,84.000000
f_avg_2_6,246.000000,163.000000,156.000000,90.000000
f_avg_6,251.000000,169.000000,166.000000,85.000000
